analysis,h,CPUtime
timetest01,1,16688.01510346
timetest02,1,37137.96354747
timetest03,1,12630.994448551
timetest04,1,21942.346502542
timetest05,1,23949.375026384
timetest06,1,39287.796202476
timetest07,1,29822.147601027
timetest08,1,51589.342317181
timetest09,1,34831.465925074
timetest10,1,29394.463493788
timetest11,1,67926.502059791
timetest12,1,18935.630572383
timetest13,1,31456.993676184
